Code,Description,Category,Label,Type,Weight,MDC,Post Acute,Special Pay,LOS Mean,Geo LOS Mean
1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM,MCC,SURG,28.1461,PRE,No,No,39.3,29.9
2,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM,NO MCC,SURG,13.4731,PRE,No,No,14.9,12.3
3,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES","ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES",Others,SURG,20.2371,PRE,Yes,No,33.2,24.7
4,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES","TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES",Others,SURG,13.7317,PRE,Yes,No,29.2,24.2
5,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,LIVER TRANSPLANT,MCC,SURG,11.4070,PRE,No,No,20.6,15.0
6,LIVER TRANSPLANT WITHOUT MCC,LIVER TRANSPLANT,NO MCC,SURG,4.8093,PRE,No,No,8.4,7.6
7,LUNG TRANSPLANT,LUNG TRANSPLANT,Others,SURG,12.2073,PRE,No,No,21.2,17.8
8,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,Others,SURG,5.5911,PRE,No,No,10.1,8.7
10,PANCREAS TRANSPLANT,PANCREAS TRANSPLANT,Others,SURG,4.1468,PRE,No,No,7.8,7.4
11,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC","TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY",MCC,SURG,5.1652,PRE,No,No,14.5,11.7
