HCPCS,DESCRIPTION,STATUS CODE,Outpatient RVU,Inpatient RVU,IN_OUT_RVU,GLOB_DAYS
A0021,Outside state ambulance serv,I,0,0,0,XXX
A0080,Noninterest escort in non er,I,0,0,0,XXX
A0090,Interest escort in non er,I,0,0,0,XXX
A0100,Nonemergency transport taxi,I,0,0,0,XXX
A0110,Nonemergency transport bus,I,0,0,0,XXX
A0120,Noner transport mini-bus,I,0,0,0,XXX
A0130,Noner transport wheelch van,I,0,0,0,XXX
A0140,Nonemergency transport air,I,0,0,0,XXX
A0160,Noner transport case worker,I,0,0,0,XXX
A0170,Transport parking fees/tolls,I,0,0,0,XXX
A0180,Noner transport lodgng recip,I,0,0,0,XXX
A0190,Noner transport meals recip,I,0,0,0,XXX
A0200,Noner transport lodgng escrt,I,0,0,0,XXX
A0210,Noner transport meals escort,I,0,0,0,XXX
A0225,Neonatal emergency transport,I,0,0,0,XXX
A0380,Basic life support mileage,I,0,0,0,XXX
A0382,Basic support routine suppls,X,0,0,0,XXX
A0384,Bls defibrillation supplies,X,0,0,0,XXX
A0390,Advanced life support mileag,I,0,0,0,XXX
A0392,Als defibrillation supplies,X,0,0,0,XXX
A0394,Als iv drug therapy supplies,X,0,0,0,XXX
A0396,Als esophageal intub suppls,X,0,0,0,XXX
A0398,Als routine disposble suppls,X,0,0,0,XXX
A0420,Ambulance waiting 1/2 hr,X,0,0,0,XXX
A0422,Ambulance 02 life sustaining,X,0,0,0,XXX
A0424,Extra ambulance attendant,X,0,0,0,XXX
A0425,Ground mileage,X,0,0,0,XXX
A0426,Als 1,X,0,0,0,XXX
A0427,Als1-emergency,X,0,0,0,XXX
A0428,Bls,X,0,0,0,XXX
A0429,Bls-emergency,X,0,0,0,XXX
A0430,Fixed wing air transport,X,0,0,0,XXX
A0431,Rotary wing air transport,X,0,0,0,XXX
A0432,Pi volunteer ambulance co,X,0,0,0,XXX
A0433,Als 2,X,0,0,0,XXX
A0434,Specialty care transport,X,0,0,0,XXX
A0435,Fixed wing air mileage,X,0,0,0,XXX
A0436,Rotary wing air mileage,X,0,0,0,XXX
A0888,Noncovered ambulance mileage,N,0,0,0,XXX
A0998,Ambulance response/treatment,I,0,0,0,XXX
A0999,Unlisted ambulance service,X,0,0,0,XXX
A2001,"Innovamatrix ac, per sq cm",C,0,0,0,XXX
A2002,Mirragen adv wnd mat per sq,C,0,0,0,XXX
A2004,"Xcellistem, 1 mg",C,0,0,0,XXX
A2005,"Microlyte matrix, per sq cm",C,0,0,0,XXX
A2006,Novosorb synpath per sq cm,C,0,0,0,XXX
A2007,"Restrata, per sq cm",C,0,0,0,XXX
A2008,"Theragenesis, per sq cm",C,0,0,0,XXX
A2009,"Symphony, per sq cm",C,0,0,0,XXX
A2010,"Apis, per square centimeter",C,0,0,0,XXX
A2011,"Supra sdrm, per sq cm",C,0,0,0,XXX
A2012,"Suprathel, per sq cm",C,0,0,0,XXX
A2013,"Innovamatrix fs, per sq cm",C,0,0,0,XXX
A2014,Omeza collag per 100 mg,C,0,0,0,XXX
A2015,"Phoenix wnd mtrx, per sq cm",C,0,0,0,XXX
A2016,"Permeaderm b, per sq cm",C,0,0,0,XXX
A2017,"Permeaderm glove, each",C,0,0,0,XXX
A2018,"Permeaderm c, per sq cm",C,0,0,0,XXX
A2019,Kerecis marigen shld sq cm,C,0,0,0,XXX
A2020,Ac5 wound system,C,0,0,0,XXX
A2021,Neomatrix per sq cm,C,0,0,0,XXX
A2022,Innovabrn/innovamatx xl sqcm,C,0,0,0,XXX
A2023,"Innovamatrix pd, 1 mg",C,0,0,0,XXX
A2024,Resolve matrix per sq cm,C,0,0,0,XXX
A2025,Miro3d per cubic cm,C,0,0,0,XXX
A4100,Skin sub fda clrd as dev nos,C,0,0,0,XXX
A4206,1 cc sterile syringe&needle,X,0,0,0,XXX
A4207,2 cc sterile syringe&needle,X,0,0,0,XXX
A4208,3 cc sterile syringe&needle,X,0,0,0,XXX
A4209,5+ cc sterile syringe&needle,X,0,0,0,XXX
A4210,Nonneedle injection device,N,0,0,0,XXX
A4211,Supp for self-adm injections,P,0,0,0,XXX
A4212,Non coring needle or stylet,P,0,0,0,XXX
A4213,20+ cc syringe only,X,0,0,0,XXX
A4215,Sterile needle,X,0,0,0,XXX
A4216,"Sterile water/saline, 10 ml",X,0,0,0,XXX
A4217,"Sterile water/saline, 500 ml",X,0,0,0,XXX
A4218,Sterile saline or water,X,0,0,0,XXX
A4220,Infusion pump refill kit,P,0,0,0,XXX
A4221,Supp non-insulin inf cath/wk,X,0,0,0,XXX
A4222,Infusion supplies with pump,X,0,0,0,XXX
A4223,Infusion supplies w/o pump,X,0,0,0,XXX
